"","GeneID","Chr","Start","End","Strand","Length"
"1","gene-ETS1-1","NC_001144.5","457733","458432","-",700
"2","gene-ETS1-2","NC_001144.5","466870","467569","-",700
"3","gene-ETS2-1","NC_001144.5","451575","451785","-",211
"4","gene-ETS2-2","NC_001144.5","460712","460922","-",211
"5","gene-HRA1","NC_001133.9","99305","99868","+",564
"6","gene-ICR1","NC_001141.2","393884","397082","-",3199
"7","gene-IRT1","NC_001142.9","605936","607424","-",1489
"8","gene-ITS1-1","NC_001144.5","455572","455932","-",361
"9","gene-ITS1-2","NC_001144.5","464709","465069","-",361
"10","gene-ITS2-1","NC_001144.5","455182","455413","-",232
"11","gene-ITS2-2","NC_001144.5","464319","464550","-",232
"12","gene-LSR1","NC_001134.8","680688","681862","-",1175
"13","gene-NME1","NC_001146.8","585587","585926","+",340
"14","gene-PWR1","NC_001141.2","395999","396939","+",941
"15","gene-Q0020","NC_001224.1","6546","8194","+",1649
"16","gene-Q0158","NC_001224.1","58009","62447","+",4439
"17","gene-Q0285","NC_001224.1","85295","85777","+",483
"18","gene-RDN18-1","NC_001144.5","455933","457732","-",1800
"19","gene-RDN18-2","NC_001144.5","465070","466869","-",1800
"20","gene-RDN25-1","NC_001144.5","451786","455181","-",3396
"21","gene-RDN25-2","NC_001144.5","460923","464318","-",3396
"22","gene-RDN37-1","NC_001144.5","451575","458432","-",6858
"23","gene-RDN37-2","NC_001144.5","460712","467569","-",6858
"24","gene-RDN5-1","NC_001144.5","459676","459796","+",121
"25","gene-RDN5-2","NC_001144.5","468813","468931","+",119
"26","gene-RDN5-3","NC_001144.5","472465","472583","+",119
"27","gene-RDN5-4","NC_001144.5","482045","482163","+",119
"28","gene-RDN5-5","NC_001144.5","485697","485815","+",119
"29","gene-RDN5-6","NC_001144.5","489349","489469","+",121
"30","gene-RDN58-1","NC_001144.5","455414","455571","-",158
"31","gene-RDN58-2","NC_001144.5","464551","464708","-",158
"32","gene-RME2","NC_001139.9","141898","144120","-",2223
"33","gene-RME3","NC_001139.9","33109","35013","-",1905
"34","gene-RNA170","NC_001145.3","667288","667456","-",169
"35","gene-RPR1","NC_001137.3","117667","118035","-",369
"36","gene-RUF20","NC_001138.5","131061","131503","-",443
"37","gene-RUF21","NC_001138.5","57815","58521","-",707
"38","gene-RUF22","NC_001138.5","199299","199813","-",515
"39","gene-RUF23","NC_001138.5","221714","221967","+",254
"40","gene-RUF5-1","NC_001140.6","212409","213118","+",710
"41","gene-RUF5-2","NC_001140.6","214407","215116","+",710
"42","gene-SCR1","NC_001137.3","441987","442508","+",522
"43","gene-SRG1","NC_001137.3","322212","322762","+",551
"44","gene-TLC1","NC_001134.8","307587","308887","+",1301
"45","gene-YAL001C","NC_001133.9;NC_001133.9","147594;151097","151006;151166","-;-",3483
"46","gene-YAL002W","NC_001133.9","143707","147531","+",3825
"47","gene-YAL003W","NC_001133.9;NC_001133.9","142174;142620","142253;143160","+;+",621
"48","gene-YAL005C","NC_001133.9","139503","141431","-",1929
"49","gene-YAL007C","NC_001133.9","137698","138345","-",648
"50","gene-YAL008W","NC_001133.9","136914","137510","+",597
"51","gene-YAL009W","NC_001133.9","135854","136633","+",780
"52","gene-YAL010C","NC_001133.9","134184","135665","-",1482
"53","gene-YAL011W","NC_001133.9","132199","134076","+",1878
"54","gene-YAL012W","NC_001133.9","130799","131983","+",1185
"55","gene-YAL013W","NC_001133.9","129270","130487","+",1218
"56","gene-YAL014C","NC_001133.9","128252","129019","-",768
"57","gene-YAL015C","NC_001133.9","126903","128102","-",1200
"58","gene-YAL016W","NC_001133.9","124879","126786","+",1908
"59","gene-YAL017W","NC_001133.9","120225","124295","+",4071
"60","gene-YAL018C","NC_001133.9","118564","119541","-",978
